time,rip_strength,scale_factor
4.160000,0.000009,388426813663229760.000000
4.170000,0.000009,388438342770329600.000000
4.180000,0.000008,388449587552393344.000000
4.190000,0.000008,388460555013363840.000000
4.200000,0.000008,388471251985038976.000000
4.210000,0.000007,388481685131283712.000000
4.220000,0.000007,388491860952140160.000000
4.230000,0.000007,388501785787837824.000000
4.240000,0.000006,388511465822706624.000000
4.250000,0.000006,388520907088994688.000000
4.260000,0.000006,388530115470593792.000000
4.270000,0.000005,388539096706673664.000000
4.280000,0.000005,388547856395228672.000000
4.290000,0.000005,388556399996537728.000000
4.300000,0.000005,388564732836539904.000000
4.310000,0.000004,388572860110128640.000000
4.320000,0.000004,388580786884364800.000000
4.330000,0.000004,388588518101612160.000000
4.340000,0.000004,388596058582596288.000000
4.350000,0.000004,388603413029388544.000000
4.360000,0.000003,388610586028318080.000000
4.370000,0.000003,388617582052811840.000000
4.380000,0.000003,388624405466166400.000000
4.390000,0.000003,388631060524251072.000000
4.400000,0.000003,388637551378145728.000000
4.410000,0.000003,388643882076713984.000000
4.420000,0.000003,388650056569113600.000000
4.430000,0.000002,388656078707245504.000000
4.440000,0.000002,388661952248142848.000000
4.450000,0.000002,388667680856301888.000000
4.460000,0.000002,388673268105955840.000000
4.470000,0.000002,388678717483293056.000000
4.480000,0.000002,388684032388620928.000000
4.490000,0.000002,388689216138476800.000000
4.500000,0.000002,388694271967687296.000000
4.510000,0.000002,388699203031377408.000000
4.520000,0.000002,388704012406930112.000000
4.530000,0.000001,388708703095898048.000000
4.540000,0.000001,388713278025868544.000000
4.550000,0.000001,388717740052282688.000000
4.560000,0.000001,388722091960210240.000000
4.570000,0.000001,388726336466080704.000000
4.580000,0.000001,388730476219371776.000000
4.590000,0.000001,388734513804257088.000000
4.600000,0.000001,388738451741212736.000000
4.610000,0.000001,388742292488585152.000000
4.620000,0.000001,388746038444119936.000000
4.630000,0.000001,388749691946453632.000000
4.640000,0.000001,388753255276568320.000000
4.650000,0.000001,388756730659211264.000000
4.660000,0.000001,388760120264279104.000000
4.670000,0.000001,388763426208168384.000000
4.680000,0.000001,388766650555092736.000000
4.690000,0.000001,388769795318367872.000000
4.700000,0.000001,388772862461665024.000000
4.710000,0.000001,388775853900233280.000000
4.720000,0.000001,388778771502092480.000000
4.730000,0.000001,388781617089196352.000000
4.740000,0.000001,388784392438566912.000000
4.750000,0.000000,388787099283401792.000000
4.760000,0.000000,388789739314153216.000000
4.770000,0.000000,388792314179581632.000000
4.780000,0.000000,388794825487782464.000000
4.790000,0.000000,388797274807188352.000000
4.800000,0.000000,388799663667546048.000000
4.810000,0.000000,388801993560869888.000000
4.820000,0.000000,388804265942371712.000000
4.830000,0.000000,388806482231367680.000000
4.840000,0.000000,388808643812162752.000000
4.850000,0.000000,388810752034913792.000000
4.860000,0.000000,388812808216471104.000000
4.870000,0.000000,388814813641199360.000000
4.880000,0.000000,388816769561778368.000000
4.890000,0.000000,388818677199984000.000000
4.900000,0.000000,388820537747450112.000000
4.910000,0.000000,388822352366411584.000000
4.920000,0.000000,388824122190428992.000000
4.930000,0.000000,388825848325095616.000000
4.940000,0.000000,388827531848726976.000000
4.950000,0.000000,388829173813033280.000000
4.960000,0.000000,388830775243775488.000000
4.970000,0.000000,388832337141405248.000000
4.980000,0.000000,388833860481688640.000000
4.990000,0.000000,388835346216315264.000000
5.000000,0.000000,388836795273491712.000000
5.010000,0.000000,388838208558520768.000000
5.020000,0.000000,388839586954366336.000000
5.030000,0.000000,388840931322203968.000000
5.040000,0.000000,388842242501958720.000000
5.050000,0.000000,388843521312828928.000000
5.060000,0.000000,388844768553797440.000000
5.070000,0.000000,388845985004130368.000000
5.080000,0.000000,388847171423863296.000000
5.090000,0.000000,388848328554275648.000000
5.100000,0.000000,388849457118353216.000000
5.110000,0.000000,388850557821239616.000000
5.120000,0.000000,388851631350676160.000000
5.130000,0.000000,388852678377431360.000000
5.140000,0.000000,388853699555719552.000000
5.150000,0.000000,388854695523609280.000000
5.160000,0.000000,388855666903421440.000000
5.170000,0.000000,388856614302117952.000000
5.180000,0.000000,388857538311680832.000000
5.190000,0.000000,388858439509481280.000000
5.200000,0.000000,388859318458640640.000000
5.210000,0.000000,388860175708381632.000000
5.220000,0.000000,388861011794371584.000000
5.230000,0.000000,388861827239056448.000000
5.240000,0.000000,388862622551987520.000000
5.250000,0.000000,388863398230139200.000000
5.260000,0.000000,388864154758219520.000000
5.270000,0.000000,388864892608972800.000000
5.280000,0.000000,388865612243474688.000000
5.290000,0.000000,388866314111420160.000000
5.300000,0.000000,388866998651404608.000000
5.310000,0.000000,388867666291197376.000000
5.320000,0.000000,388868317448009152.000000
5.330000,0.000000,388868952528752192.000000
5.340000,0.000000,388869571930294912.000000
5.350000,0.000000,388870176039709440.000000
5.360000,0.000000,388870765234513408.000000
5.370000,0.000000,388871339882905728.000000
5.380000,0.000000,388871900343996672.000000
5.390000,0.000000,388872446968032128.000000
5.400000,0.000000,388872980096612224.000000
5.410000,0.000000,388873500062904768.000000
5.420000,0.000000,388874007191853568.000000
5.430000,0.000000,388874501800381056.000000
5.440000,0.000000,388874984197586496.000000
5.450000,0.000000,388875454684938880.000000
5.460000,0.000000,388875913556465536.000000
5.470000,0.000000,388876361098935360.000000
5.480000,0.000000,388876797592038336.000000
5.490000,0.000000,388877223308560192.000000
5.500000,0.000000,388877638514552640.000000
5.510000,0.000000,388878043469499648.000000
5.520000,0.000000,388878438426479552.000000
5.530000,0.000000,388878823632323264.000000
5.540000,0.000000,388879199327768384.000000
5.550000,0.000000,388879565747609536.000000
5.560000,0.000000,388879923120845184.000000
5.570000,0.000000,388880271670820544.000000
5.580000,0.000000,388880611615367232.000000
5.590000,0.000000,388880943166939392.000000
5.600000,0.000000,388881266532746368.000000
5.610000,0.000000,388881581914882176.000000
5.620000,0.000000,388881889510451712.000000
5.630000,0.000000,388882189511693952.000000
5.640000,0.000000,388882482106102016.000000
5.650000,0.000000,388882767476540416.000000
5.660000,0.000000,388883045801359360.000000
5.670000,0.000000,388883317254505920.000000
5.680000,0.000000,388883582005632896.000000
5.690000,0.000000,388883840220204928.000000
5.700000,0.000000,388884092059601600.000000
5.710000,0.000000,388884337681218496.000000
5.720000,0.000000,388884577238565504.000000
5.730000,0.000000,388884810881362688.000000
5.740000,0.000000,388885038755633920.000000
5.750000,0.000000,388885261003797952.000000
5.760000,0.000000,388885477764757632.000000
5.770000,0.000000,388885689173986496.000000
5.780000,0.000000,388885895363613568.000000
5.790000,0.000000,388886096462505920.000000
5.800000,0.000000,388886292596349120.000000
5.810000,0.000000,388886483887725760.000000
5.820000,0.000000,388886670456192128.000000
5.830000,0.000000,388886852418352896.000000
5.840000,0.000000,388887029887933888.000000
5.850000,0.000000,388887202975853312.000000
5.860000,0.000000,388887371790291072.000000
5.870000,0.000000,388887536436756032.000000
5.880000,0.000000,388887697018152448.000000
5.890000,0.000000,388887853634843904.000000
5.900000,0.000000,388888006384716224.000000
5.910000,0.000000,388888155363238592.000000
5.920000,0.000000,388888300663523136.000000
5.930000,0.000000,388888442376383168.000000
5.940000,0.000000,388888580590389952.000000
5.950000,0.000000,388888715391928064.000000
5.960000,0.000000,388888846865249344.000000
5.970000,0.000000,388888975092525632.000000
5.980000,0.000000,388889100153899840.000000
5.990000,0.000000,388889222127536448.000000
6.000000,0.000000,388889341089670080.000000
6.010000,0.000000,388889457114653312.000000
6.020000,0.000000,388889570275002752.000000
6.030000,0.000000,388889680641444928.000000
6.040000,0.000000,388889788282960128.000000
6.050000,0.000000,388889893266825536.000000
6.060000,0.000000,388889995658657408.000000
6.070000,0.000000,388890095522451904.000000
6.080000,0.000000,388890192920625216.000000
6.090000,0.000000,388890287914052544.000000
6.100000,0.000000,388890380562106112.000000
6.110000,0.000000,388890470922692352.000000
6.120000,0.000000,388890559052288064.000000
6.130000,0.000000,388890645005975488.000000
6.140000,0.000000,388890728837477120.000000
6.150000,0.000000,388890810599189056.000000
6.160000,0.000000,388890890342213632.000000
6.170000,0.000000,388890968116391680.000000
6.180000,0.000000,388891043970333376.000000
6.190000,0.000000,388891117951448896.000000
6.200000,0.000000,388891190105977664.000000
6.210000,0.000000,388891260479017728.000000
6.220000,0.000000,388891329114553536.000000
6.230000,0.000000,388891396055483520.000000
6.240000,0.000000,388891461343647168.000000
6.250000,0.000000,388891525019850880.000000
6.260000,0.000000,388891587123893568.000000
6.270000,0.000000,388891647694591552.000000
6.280000,0.000000,388891706769802816.000000
6.290000,0.000000,388891764386450496.000000
6.300000,0.000000,388891820580546304.000000
6.310000,0.000000,388891875387212736.000000
6.320000,0.000000,388891928840705216.000000
6.330000,0.000000,388891980974433344.000000
6.340000,0.000000,388892031820981888.000000
6.350000,0.000000,388892081412131072.000000
6.360000,0.000000,388892129778876480.000000
6.370000,0.000000,388892176951448512.000000
6.380000,0.000000,388892222959331136.000000
6.390000,0.000000,388892267831280256.000000
6.400000,0.000000,388892311595342016.000000
6.410000,0.000000,388892354278869952.000000
6.420000,0.000000,388892395908542400.000000
6.430000,0.000000,388892436510378816.000000
6.440000,0.000000,388892476109756416.000000
6.450000,0.000000,388892514731425792.000000
6.460000,0.000000,388892552399526464.000000
6.470000,0.000000,388892589137601984.000000
6.480000,0.000000,388892624968614464.000000
6.490000,0.000000,388892659914959296.000000
6.500000,0.000000,388892693998478784.000000
6.510000,0.000000,388892727240476096.000000
6.520000,0.000000,388892759661728256.000000
6.530000,0.000000,388892791282499520.000000
6.540000,0.000000,388892822122553600.000000
6.550000,0.000000,388892852201166400.000000
6.560000,0.000000,388892881537137856.000000
6.570000,0.000000,388892910148803712.000000
6.580000,0.000000,388892938054047104.000000
6.590000,0.000000,388892965270309440.000000
6.600000,0.000000,388892991814601728.000000
6.610000,0.000000,388893017703514816.000000
6.620000,0.000000,388893042953230080.000000
6.630000,0.000000,388893067579529152.000000
6.640000,0.000000,388893091597804288.000000
6.650000,0.000000,388893115023067520.000000
6.660000,0.000000,388893137869960320.000000
6.670000,0.000000,388893160152762560.000000
6.680000,0.000000,388893181885401728.000000
6.690000,0.000000,388893203081461248.000000
6.700000,0.000000,388893223754189312.000000
6.710000,0.000000,388893243916506944.000000
6.720000,0.000000,388893263581016256.000000
6.730000,0.000000,388893282760008000.000000
6.740000,0.000000,388893301465469696.000000
6.750000,0.000000,388893319709092736.000000
6.760000,0.000000,388893337502279936.000000
6.770000,0.000000,388893354856152640.000000
6.780000,0.000000,388893371781557376.000000
6.790000,0.000000,388893388289073088.000000
6.800000,0.000000,388893404389017536.000000
6.810000,0.000000,388893420091453568.000000
6.820000,0.000000,388893435406195648.000000
6.830000,0.000000,388893450342816000.000000
6.840000,0.000000,388893464910650432.000000
6.850000,0.000000,388893479118804224.000000
6.860000,0.000000,388893492976157952.000000
6.870000,0.000000,388893506491372928.000000
6.880000,0.000000,388893519672896448.000000
6.890000,0.000000,388893532528967488.000000
6.900000,0.000000,388893545067621376.000000
6.910000,0.000000,388893557296695168.000000
6.920000,0.000000,388893569223832448.000000
6.930000,0.000000,388893580856488064.000000
6.940000,0.000000,388893592201932672.000000
6.950000,0.000000,388893603267257600.000000
6.960000,0.000000,388893614059378944.000000
6.970000,0.000000,388893624585042176.000000
6.980000,0.000000,388893634850826112.000000
6.990000,0.000000,388893644863147200.000000
7.000000,0.000000,388893654628263488.000000
7.010000,0.000000,388893664152278400.000000
